location	address	adname	cityname	id	importance	name	pname	tel	type	typecode	经	纬	places_code	places	keywords
116.332046,39.955372	大慧寺路20号	海淀区	北京市	B000A5F47A	[]	中国地质环境监测院职工之家	北京市	010-62173424	生活服务;生活服务场所;生活服务场所	070000	116.332046	39.955372	110000	北京市	环境监测中心
116.404921,39.831136	南四环中路40号派诺利文创园B座336室	丰台区	北京市	B0FFI786NI	[]	中环国测(北京)环境监测中心	北京市	010-67261005	公司企业;公司企业;公司企业	170000	116.404921	39.831136	110000	北京市	环境监测中心
116.387012,39.848135	洋桥70号	丰台区	北京市	B0FFGK9CVP	[]	北京二商集团有限公司环境监测中心	北京市	[]	公司企业;公司;公司	170200	116.387012	39.848135	110000	北京市	环境监测中心
116.403443,39.871235	桃园东里甲1	东城区	北京市	B000A7DP4Y	[]	北京市崇文环境保护监测站	北京市	010-67215470	政府机构及社会团体;政府机关;政府机关相关	130100	116.403443	39.871235	110000	北京市	环境监测中心
116.328108,39.873578	马连道卫强校甲40号中都雅润4楼(近马连道茶城)	丰台区	北京市	B0FFF5F7ZD	[]	中环谱天环境监测	北京市	010-63476060	公司企业;公司企业;公司企业	170000	116.328108	39.873578	110000	北京市	环境监测中心
116.360172,39.937726	前半壁街66祺祥园写字楼	西城区	北京市	B000A7M063	[]	天衡诚信室内环境成份监测评价中心	北京市	[]	政府机构及社会团体;公检法机构;公证鉴定机构	130505	116.360172	39.937726	110000	北京市	环境监测中心
116.245588,40.204354	科技园超前路21号	昌平区	北京市	B000A9ETTN	[]	农业部畜牧环境质量监督检验测试中心	北京市	[]	政府机构及社会团体;公检法机构;公证鉴定机构	130505	116.245588	40.204354	110000	北京市	环境监测中心
116.385397,40.005862	大屯路甲20号	朝阳区	北京市	B0FFHOKRUZ	[]	生态环境遥感监测重点站	北京市	[]	科教文化服务;科教文化场所;科教文化场所	140000	116.385397	40.005862	110000	北京市	环境监测中心
116.254061,40.221622	府学路19号	昌平区	北京市	B0FFGIGRAJ	[]	农业部环境畜牧质量监督检验测试中心	北京市	[]	政府机构及社会团体;公检法机构;公证鉴定机构	130505	116.254061	40.221622	110000	北京市	环境监测中心
116.382326,39.942475	羊房胡同甲23-3号附近	西城区	北京市	B000A7Z5VG	[]	北京市水环境自动监测系统后海站	北京市	[]	政府机构及社会团体;政府机关;省直辖市级政府及事业单位	130102	116.382326	39.942475	110000	北京市	环境监测中心
115.989170,40.472126	香苑街102号	延庆区	北京市	B0FFGCIVH7	[]	北京市延庆区环境保护局	北京市	010-69104090	政府机构及社会团体;政府机关;区县级政府及事业单位	130104	115.989170	40.472126	110000	北京市	环境监测中心
116.649730,40.122049	胜利街道建新西街甲3号	顺义区	北京市	B000A7X6QF	[]	北京市顺义区农药管理站	北京市	[]	政府机构及社会团体;政府机关;区县级政府及事业单位	130104	116.649730	40.122049	110000	北京市	环境监测中心
117.124689,40.160739	民迎路5号	平谷区	北京市	B000A8XEAV	[]	北京市平谷区农业技术推广站	北京市	[]	政府机构及社会团体;政府机关;区县级政府及事业单位	130104	117.124689	40.160739	110000	北京市	环境监测中心
115.970392,39.722394	燕山燕房路22号	房山区	北京市	B000A85F0X	[]	北京燕山石油化工有限公司老年大学	北京市	[]	科教文化服务;学校;成人教育	141205	115.970392	39.722394	110000	北京市	环境监测中心
116.332100,40.001608	双清路30号	海淀区	北京市	B0FFGIGVYE	[]	清华大学建筑环境检测中心	北京市	[]	科教文化服务;学校;高等院校	141201	116.332100	40.001608	110000	北京市	环境监测中心
116.417572,40.042103	北苑路中国环境科学研究院	朝阳区	北京市	B0FFI8ZAQ3	[]	室内环境检测治理治理中心	北京市	010-58468761	生活服务;生活服务场所;生活服务场所	070000	116.417572	40.042103	110000	北京市	环境监测中心
116.532520,39.894456	高碑店甲1号	朝阳区	北京市	B000A3D919	[]	北排水环境水质检测中心	北京市	010-87740076	公司企业;公司;公司	170200	116.532520	39.894456	110000	北京市	环境监测中心
116.357123,39.893059	广义街4号华星大厦	西城区	北京市	B000A7RAKL	[]	中国(轻工)装饰材料室内环境监督检测中心	北京市	[]	政府机构及社会团体;公检法机构;公证鉴定机构	130505	116.357123	39.893059	110000	北京市	环境监测中心
116.343774,40.032473	清河三街95号同源大厦5层503室	海淀区	北京市	B0FFFSUYIN	[]	北京大元环境检测技术研究中心	北京市	010-60606948	科教文化服务;科教文化场所;科教文化场所	140000	116.343774	40.032473	110000	北京市	环境监测中心
116.320051,40.093642	华北电力大学南街	昌平区	北京市	B0FFH7ZVKW	[]	北京京环建环境质量检测中心	北京市	[]	政府机构及社会团体;公检法机构;公证鉴定机构	130505	116.320051	40.093642	110000	北京市	环境监测中心
116.695459,40.353612	雁栖南四街3号附近	怀柔区	北京市	B0FFHRKC3H	[]	北京中科格润环境检测研究中心	北京市	13716584222	科教文化服务;科教文化场所;科教文化场所	140000	116.695459	40.353612	110000	北京市	环境监测中心
116.320138,40.093620	回昌东路东200米	昌平区	北京市	B0FFG4UXYT	[]	北京京环建环境质量检测中心(理化研究所)	北京市	[]	政府机构及社会团体;公检法机构;公证鉴定机构	130505	116.320138	40.093620	110000	北京市	环境监测中心
116.161608,39.852682	军民友谊路与刘记面馆门前路交叉口东200米	丰台区	北京市	B0FFG8VQQE	[]	都市环球(北京)国际环境检测中心	北京市	[]	政府机构及社会团体;公检法机构;公证鉴定机构	130505	116.161608	39.852682	110000	北京市	环境监测中心
116.114496,39.899801	龙园路9号	门头沟区	北京市	B0FFG8UR5M	[]	中国航天环境可靠性试验与检测中心(东门)	北京市	[]	通行设施;临街院门;临街院正门	991401	116.114496	39.899801	110000	北京市	环境监测中心
116.114156,39.899463	美安路与龙园路交叉口西50米	门头沟区	北京市	B0FFG8UQKW	[]	中国航天环境可靠性试验与检测中心(南门)	北京市	[]	通行设施;临街院门;临街院门	991400	116.114156	39.899463	110000	北京市	环境监测中心
116.296413,39.846768	丰台南路造甲街五号院中电投工程研究检测评定中心附近	丰台区	北京市	B0FFHLV4PE	[]	北京市微振动环境控制工程技术研究中心	北京市	[]	科教文化服务;科研机构;科研机构	141300	116.296413	39.846768	110000	北京市	环境监测中心
116.372080,39.989877	北四环中路221号附近	海淀区	北京市	B000AA0QEI	[]	国家电子计算机质量监督检验中心第二环境试验检测室	北京市	[]	政府机构及社会团体;公检法机构;公证鉴定机构	130505	116.372080	39.989877	110000	北京市	环境监测中心
116.326007,39.961062	中关村南大街12号	海淀区	北京市	B0FFHEVDX7	[]	中国农业科学院农业部畜牧环境设施设备质量监督检验测试中心	北京市	[]	政府机构及社会团体;公检法机构;公证鉴定机构	130505	116.326007	39.961062	110000	北京市	环境监测中心
116.295954,39.846788	建国街与造甲街交叉口东南150米	丰台区	北京市	B0FFHOAAO4	[]	国家电子工程建筑及环境性能质量监督检测中心	北京市	[]	政府机构及社会团体;公检法机构;公证鉴定机构	130505	116.295954	39.846788	110000	北京市	环境监测中心
116.360271,39.957512	学院南路30号北京长城电子装备有限责任公司	海淀区	北京市	B000A8122J	[]	中国船舶重工集团公司北京机电电子产品环境与可靠性试验检测中心	北京市	[]	政府机构及社会团体;公检法机构;公证鉴定机构	130505	116.360271	39.957512	110000	北京市	环境监测中心
116.193690,39.939350	八大处科技园区实兴大街30号院3号楼冠辉大厦12层	石景山区	北京市	B0FFG8EMCI	[]	北京中科英曼环境检测有限公司	北京市	010-88933160	公司企业;公司;公司	170200	116.193690	39.939350	110000	北京市	环境监测中心
116.634448,40.101604	顺兴路9号国家家具及室内环境质量监督检验中心(顺兴路)附近	顺义区	北京市	B0FFG2MSCF	[]	中汽认证中心委托检测实验室	北京市	[]	科教文化服务;科教文化场所;科教文化场所	140000	116.634448	40.101604	110000	北京市	环境监测中心
106.491928,29.591920	冉家坝旗山路252号	渝北区	重庆市	B00170A38B	[]	重庆市环境监测中心	重庆市	023-67855147;023-67653502	政府机构及社会团体;政府机关;省直辖市级政府及事业单位	130102	106.491928	29.591920	500000	重庆市	环境监测中心
107.290756,29.731987	涪陵103路	涪陵区	重庆市	BV10892798	[]	环境监测中心(公交站)	重庆市	[]	交通设施服务;公交车站;公交车站相关	150700	107.290756	29.731987	500000	重庆市	环境监测中心
107.398254,29.699005	兴华中路28号	涪陵区	重庆市	B00178UOZ9	[]	重庆市涪陵环境监测中心	重庆市	023-72222582	政府机构及社会团体;政府机关;区县级政府及事业单位	130104	107.398254	29.699005	500000	重庆市	环境监测中心
108.775531,29.531803	城西九路66号附近	黔江区	重庆市	B00178V4KN	[]	重庆市黔江区环境监测中心站	重庆市	[]	政府机构及社会团体;公检法机构;公证鉴定机构	130505	108.775531	29.531803	500000	重庆市	环境监测中心
108.775529,29.531971	城西九路36号附近	黔江区	重庆市	B0FFH2A7RE	[]	重庆市黔江区环境监测中心局	重庆市	[]	政府机构及社会团体;政府机关;政府机关相关	130100	108.775529	29.531971	500000	重庆市	环境监测中心
106.587399,29.644548	回兴街道宝圣湖街道	渝北区	重庆市	B0FFGY6SO1	[]	重庆市水环境监测中心	重庆市	[]	政府机构及社会团体;政府及社会团体相关;政府及社会团体相关	130000	106.587399	29.644548	500000	重庆市	环境监测中心
106.567518,29.520742	南坪街道金紫街198号	南岸区	重庆市	B00170L8O2	[]	重庆市南岸区环境监测站	重庆市	[]	政府机构及社会团体;政府机关;区县级政府及事业单位	130104	106.567518	29.520742	500000	重庆市	环境监测中心
106.517349,29.532747	长江二路177附9号	渝中区	重庆市	B00170LAJT	[]	中国室内装饰协会室内环境检测中心重庆分中心	重庆市	[]	政府机构及社会团体;公检法机构;公证鉴定机构	130505	106.517349	29.532747	500000	重庆市	环境监测中心
106.508019,29.577754	红石支路64号附近	渝北区	重庆市	B001786RFL	[]	环境监测中心重庆环境监测所	重庆市	[]	政府机构及社会团体;政府机关;省直辖市级政府及事业单位	130102	106.508019	29.577754	500000	重庆市	环境监测中心
106.248092,29.281364	滨江大道西段131-附2号附近	江津区	重庆市	B00178YEAQ	[]	重庆市江津区环境监测分中心	重庆市	[]	政府机构及社会团体;政府机关;区县级政府及事业单位	130104	106.248092	29.281364	500000	重庆市	环境监测中心
108.759635,29.528845	迎宾一路70	黔江区	重庆市	B00178V8WB	[]	重庆市水环境监测中心渝东南分中心	重庆市	[]	政府机构及社会团体;政府机关;政府机关相关	130100	108.759635	29.528845	500000	重庆市	环境监测中心
108.378775,30.811678	北滨大道二段844号附近	万州区	重庆市	B00178UZ0H	[]	重庆市水环境监测中心渝东北分中心	重庆市	[]	政府机构及社会团体;政府机关;政府机关相关	130100	108.378775	30.811678	500000	重庆市	环境监测中心
106.512296,29.583582	红石路126号附11号亚太国际大厦A座	渝北区	重庆市	B00170CO15	[]	九龙坡室内环境检测中心渝北站	重庆市	023-67600290	公司企业;公司;公司	170200	106.512296	29.583582	500000	重庆市	环境监测中心
106.527005,29.543038	长江二路8号	渝中区	重庆市	B00170CT9N	[]	中国环境科学学会重庆室内环境监测治理培训中心	重庆市	[]	科教文化服务;培训机构;培训机构	141400	106.527005	29.543038	500000	重庆市	环境监测中心
106.630258,29.719820	双凤路与渝航路一巷交叉口西北50米	渝北区	重庆市	B0FFI9TWSC	[]	中共渝北区环境监测站支部委员会	重庆市	[]	政府机构及社会团体;政府机关;区县级政府及事业单位	130104	106.630258	29.719820	500000	重庆市	环境监测中心
107.399436,29.698822	兴华中路25号泽胜中央广场1层1018A	涪陵区	重庆市	B00178UP2A	[]	红蜻蜓(重庆市涪陵环境监测中心北)	重庆市	[]	购物服务;服装鞋帽皮具店;品牌鞋店	061102	107.399436	29.698822	500000	重庆市	环境监测中心
106.505041,29.574356	鸿恩寺隧道北200米	渝北区	重庆市	B001786RCP	[]	西南油气田公司重庆气矿环境节能监测中心	重庆市	[]	公司企业;公司;公司	170200	106.505041	29.574356	500000	重庆市	环境监测中心
106.566765,29.640579	凯比特大厦5层	渝北区	重庆市	B0FFI9K9DV	[]	重庆市地质环境监测总站	重庆市	023-63651370	政府机构及社会团体;政府及社会团体相关;政府及社会团体相关	130000	106.566765	29.640579	500000	重庆市	环境监测中心
106.232475,29.586292	文星路与金剑路交叉口南100米	璧山区	重庆市	B00178ULNR	[]	璧山区环境监察大队	重庆市	[]	政府机构及社会团体;政府机关;区县级政府及事业单位	130104	106.232475	29.586292	500000	重庆市	环境监测中心
107.103742,29.146088	金山大道4号附近	南川区	重庆市	B00178Y0CS	[]	重庆市南川区环境监察支队	重庆市	[]	政府机构及社会团体;政府机关;区县级政府及事业单位	130104	107.103742	29.146088	500000	重庆市	环境监测中心
106.400413,29.798250	卢作孚路427-433号	北碚区	重庆市	B00178UOY4	[]	重庆市北碚区环境监察支队	重庆市	[]	政府机构及社会团体;政府机关;区县级政府及事业单位	130104	106.400413	29.798250	500000	重庆市	环境监测中心
106.268630,29.978212	南屏路91-93号	合川区	重庆市	B00170A1KK	[]	合川区环境科学学会	重庆市	[]	政府机构及社会团体;社会团体;行业协会	130407	106.268630	29.978212	500000	重庆市	环境监测中心
107.354193,29.725358	崇义街道迎宾大道西250米	涪陵区	重庆市	B00178UNXT	[]	重庆市水土保持生态环境监测总站涪陵分站	重庆市	[]	政府机构及社会团体;政府机关;区县级政府及事业单位	130104	107.354193	29.725358	500000	重庆市	环境监测中心
107.357036,29.721828	迎宾大道坝坝老火锅以南约300米	涪陵区	重庆市	B0FFGFR27Z	[]	中国石油大通加油站(白鹤印象南)	重庆市	[]	汽车服务;加油站;中国石油	010102	107.357036	29.721828	500000	重庆市	环境监测中心
105.608086,29.417548	富安北路94-附4号附近	荣昌区	重庆市	B0FFHEAIX8	[]	隆安室内环境检测治理中心	重庆市	[]	政府机构及社会团体;政府及社会团体相关;政府及社会团体相关	130000	105.608086	29.417548	500000	重庆市	环境监测中心
107.343408,30.329667	新华街390号附近	垫江县	重庆市	B0FFIL808V	[]	绿佳室内环境检测治理服务中心	重庆市	[]	生活服务;生活服务场所;生活服务场所	070000	107.343408	30.329667	500000	重庆市	环境监测中心
106.556526,29.563253	人民路75号	渝中区	重庆市	B001709Y1D	[]	重庆电力劳动环境检测监督中心站	重庆市	[]	政府机构及社会团体;公检法机构;公证鉴定机构	130505	106.556526	29.563253	500000	重庆市	环境监测中心
106.552854,29.563679	人民路212号	渝中区	重庆市	B001709Z7C	[]	重庆市辐射环境监督管理站	重庆市	023-89031715	政府机构及社会团体;政府机关;省直辖市级政府及事业单位	130102	106.552854	29.563679	500000	重庆市	环境监测中心
106.570602,29.642171	北部新区金渝大道89号线外城市花园11栋4楼	渝北区	重庆市	B0FFG2AOYK	[]	重庆天下无贼环境检测治理有限公司	重庆市	023-67303300;13648360679	公司企业;公司;公司	170200	106.570602	29.642171	500000	重庆市	环境监测中心
113.336359,23.103422	新窖镇磨碟沙大街28号	海珠区	广州市	B00141KF82	[]	广东省环境监测中心	广东省	[]	政府机构及社会团体;政府机关;省直辖市级政府及事业单位	130102	113.336359	23.103422	440000	广东省	环境监测中心
114.058533,22.574831	B821路	福田区	深圳市	BV10248663	[]	环境监测中心(公交站)	广东省	[]	交通设施服务;公交车站;公交车站相关	150700	114.058533	22.574831	440000	广东省	环境监测中心
114.058216,22.574508	上梅林梅坳七路	福田区	深圳市	B02F38SZO1	[]	深圳市环境监测中心站	广东省	[]	政府机构及社会团体;政府机关;地市级政府及事业单位	130103	114.058216	22.574508	440000	广东省	环境监测中心
113.108888,23.000014	汾江南路28号	禅城区	佛山市	B02F501MJR	[]	佛山市环境监测中心	广东省	[]	政府机构及社会团体;政府机关;地市级政府及事业单位	130103	113.108888	23.000014	440000	广东省	环境监测中心
113.265338,23.130065	吉祥路95号	越秀区	广州市	B00140B693	[]	广州市环境监测中心站	广东省	020-83399492	政府机构及社会团体;政府机关;地市级政府及事业单位	130103	113.265338	23.130065	440000	广东省	环境监测中心
113.399522,23.045022	大学城中心南大街与尚法街交叉口东北100米	番禺区	广州市	B0FFHSGGAZ	[]	广州市环境监测中心	广东省	[]	政府机构及社会团体;政府及社会团体相关;政府及社会团体相关	130000	113.399522	23.045022	440000	广东省	环境监测中心
113.534800,22.269675	红宝路97号	香洲区	珠海市	B02F40Q0L8	[]	珠海市环境监测中心	广东省	[]	政府机构及社会团体;政府机关;地市级政府及事业单位	130103	113.534800	22.269675	440000	广东省	环境监测中心
113.758037,23.022595	体育路15号嘉轩大厦	东莞市	东莞市	B03018JDN4	[]	东莞市环境监测中心站	广东省	[]	政府机构及社会团体;政府机关;地市级政府及事业单位	130103	113.758037	23.022595	440000	广东省	环境监测中心
116.130188,24.262649	[]	梅江区	梅州市	B02F102N3D	[]	梅州市环境监测中心站	广东省	[]	政府机构及社会团体;政府及社会团体相关;政府及社会团体相关	130000	116.130188	24.262649	440000	广东省	环境监测中心
114.050114,22.502643	保税区红柳道1号	福田区	深圳市	B0FFFLINZN	[]	深圳市环境监测中心站	广东省	[]	政府机构及社会团体;政府机关;政府机关相关	130100	114.050114	22.502643	440000	广东省	环境监测中心
113.058566,22.601711	胜利北路140号	蓬江区	江门市	B0FFIHRWRN	[]	江门市环境监测中心站	广东省	[]	政府机构及社会团体;政府及社会团体相关;政府及社会团体相关	130000	113.058566	22.601711	440000	广东省	环境监测中心
113.499773,22.810603	黄阁乌洲村南涌口路麒麟新城	南沙区	广州市	B0FFG05EBN	[]	广州市南沙区环境监测中心	广东省	[]	政府机构及社会团体;政府机关;政府机关相关	130100	113.499773	22.810603	440000	广东省	环境监测中心
115.392754,22.781464	108路	城区	汕尾市	BV10847128	[]	市海洋环境监测中心(公交站)	广东省	[]	交通设施服务;公交车站;公交车站相关	150700	115.392754	22.781464	440000	广东省	环境监测中心
114.064141,24.953620	太平镇兴平路108号	始兴县	韶关市	B0FFG0RW2K	[]	环境监测中心大楼	广东省	[]	商务住宅;楼宇;商务写字楼	120201	114.064141	24.953620	440000	广东省	环境监测中心
113.593447,22.246588	吉大情侣中路31号国家海洋局	香洲区	珠海市	B02F401CTO	[]	珠海海洋环境监测中心站	广东省	[]	政府机构及社会团体;政府机关;地市级政府及事业单位	130103	113.593447	22.246588	440000	广东省	环境监测中心
113.265764,23.237217	嘉禾园坛岭路200号	白云区	广州市	B00141KAK4	[]	广州市地质环境监测中心	广东省	[]	政府机构及社会团体;政府机关;地市级政府及事业单位	130103	113.265764	23.237217	440000	广东省	环境监测中心
113.530723,23.059815	友谊路105号	黄埔区	广州市	B00140MXLM	[]	广州开发区萝岗环境监测中心	广东省	[]	政府机构及社会团体;政府机关;区县级政府及事业单位	130104	113.530723	23.059815	440000	广东省	环境监测中心
114.041262,22.540840	新闻路69号山水大厦	福田区	深圳市	B0FFGFSZMT	[]	深圳市地质环境监测中心(新闻路)	广东省	[]	政府机构及社会团体;政府机关;地市级政府及事业单位	130103	114.041262	22.540840	440000	广东省	环境监测中心
113.637370,24.692520	马坝镇松山下教育路下园新村西250米	曲江区	韶关市	B0FFG0MQ3J	[]	广东省冶金环境监测中心站	广东省	[]	政府机构及社会团体;政府及社会团体相关;政府及社会团体相关	130000	113.637370	24.692520	440000	广东省	环境监测中心
113.250134,23.103997	海鸣街6号6-8、10层	海珠区	广州市	B00140MAJ8	[]	广州市海洋与渔业环境监测中心	广东省	[]	政府机构及社会团体;公检法机构;公证鉴定机构	130505	113.250134	23.103997	440000	广东省	环境监测中心
113.590049,24.798412	惠民南路8号16幢	武江区	韶关市	B02EF0IR4H	[]	韶关市矿产资源与地质环境监测中心	广东省	[]	政府机构及社会团体;公检法机构;公证鉴定机构	130505	113.590049	24.798412	440000	广东省	环境监测中心
113.560130,22.283994	梅华东路465号	香洲区	珠海市	B02F40052F	[]	珠海市海洋与渔业环境监测中心	广东省	[]	政府机构及社会团体;公检法机构;公证鉴定机构	130505	113.560130	22.283994	440000	广东省	环境监测中心
116.637626,23.677404	北美路与春荣路交叉口西北100米	湘桥区	潮州市	B030000FO7	[]	潮州市海洋与渔业环境监测中心	广东省	[]	政府机构及社会团体;公检法机构;公证鉴定机构	130505	116.637626	23.677404	440000	广东省	环境监测中心
113.333716,23.145076	天寿路80号水保楼	天河区	广州市	B0FFFA7VQW	[]	珠江流域水环境监测中心	广东省	[]	政府机构及社会团体;政府机关;政府机关相关	130100	113.333716	23.145076	440000	广东省	环境监测中心
113.336358,23.103417	磨碟沙大街28号	海珠区	广州市	B0FFGF9WJ2	[]	中共广东省环境监测中心委员会	广东省	[]	政府机构及社会团体;政府机关;省直辖市级政府及事业单位	130102	113.336358	23.103417	440000	广东省	环境监测中心
113.913289,22.491606	沿山路21-1号	南山区	深圳市	B0FFGKZMXM	[]	国家海洋局深圳海洋环境监测中心站	广东省	[]	政府机构及社会团体;政府机关;省直辖市级政府及事业单位|政府机构及社会团体;政府机关;地市级政府及事业单位	130102|130103	113.913289	22.491606	440000	广东省	环境监测中心
115.392709,22.781739	金湖路新林地段国家海洋局(银湖湾对面)	城区	汕尾市	B02940MD3I	[]	国家海洋局汕尾海洋环境监测中心站	广东省	[]	政府机构及社会团体;政府机关;地市级政府及事业单位	130103	115.392709	22.781739	440000	广东省	环境监测中心
113.300104,23.091796	新港西路155号办公区	海珠区	广州市	B0FFH70GS9	[]	国家海洋局南海环境监测中心	广东省	[]	政府机构及社会团体;政府机关;政府机关相关	130100	113.300104	23.091796	440000	广东省	环境监测中心
113.379874,23.189794	广汕一路338号	天河区	广州市	B0FFGZN2S1	[]	广东省森林资源与生态环境监测中心	广东省	[]	政府机构及社会团体;政府机关;省直辖市级政府及事业单位	130102	113.379874	23.189794	440000	广东省	环境监测中心
110.281459,21.615922	廉江大道北	廉江市	湛江市	B02F70175G	[]	廉江市环境监测站	广东省	[]	政府机构及社会团体;公检法机构;公证鉴定机构	130505	110.281459	21.615922	440000	广东省	环境监测中心
113.311380,23.095968	新港西路231号大院	海珠区	广州市	B00140C5HF	[]	农业部南海区渔业生态环境监测中心	广东省	[]	政府机构及社会团体;公检法机构;公证鉴定机构	130505	113.311380	23.095968	440000	广东省	环境监测中心
113.265461,23.130178	吉祥路97号附近	越秀区	广州市	B0FFI9OL2G	[]	中国科学院广州地球化学研究所广州市环境监测中心站博士后科研基地	广东省	[]	科教文化服务;科教文化场所;科教文化场所	140000	113.265461	23.130178	440000	广东省	环境监测中心
113.265461,23.130178	吉祥路97号附近	越秀区	广州市	B0FFI9B2LH	[]	中国科学院广州地球化学研究所广州市环境监测中心站城市大气环境联合实验室	广东省	[]	科教文化服务;科教文化场所;科教文化场所	140000	113.265461	23.130178	440000	广东省	环境监测中心
115.365677,22.761446	凤照街106号国家海洋局	城区	汕尾市	B0294005C9	[]	国家海洋局汕尾海洋环境监测站	广东省	[]	政府机构及社会团体;公检法机构;公证鉴定机构|政府机构及社会团体;政府机关;地市级政府及事业单位	130505|130103	115.365677	22.761446	440000	广东省	环境监测中心
114.676250,23.647583	源南镇高新区香缇雅湾对面(中国银行对面)	源城区	河源市	B02FA02C8O	[]	广东环境监测	广东省	[]	政府机构及社会团体;公检法机构;公证鉴定机构	130505	114.676250	23.647583	440000	广东省	环境监测中心
113.574988,22.291919	海虹路29号东区大厦12层	香洲区	珠海市	B02F402N36	[]	中国室内环境监测中心珠海分中心	广东省	[]	政府机构及社会团体;政府机关;地市级政府及事业单位	130103	113.574988	22.291919	440000	广东省	环境监测中心
114.081546,22.808903	湖景路17号附近	东莞市	东莞市	B0FFINICYD	[]	东莞市环境监测中心站监测一分站	广东省	[]	政府机构及社会团体;公检法机构;公证鉴定机构	130505	114.081546	22.808903	440000	广东省	环境监测中心
114.099630,22.809467	文化新村1号	东莞市	东莞市	B0FFG2EINC	[]	东莞市环境监测中心站监测一分站	广东省	[]	政府机构及社会团体;政府机关;地市级政府及事业单位	130103	114.099630	22.809467	440000	广东省	环境监测中心
113.612061,22.998205	莞洪路13号	东莞市	东莞市	B0FFINCRCM	[]	东莞市环境监测中心站监测三分站	广东省	[]	政府机构及社会团体;政府及社会团体相关;政府及社会团体相关	130000	113.612061	22.998205	440000	广东省	环境监测中心
113.130868,22.861972	沿江北二路与沿江北二路十八巷交叉口南50米	顺德区	佛山市	B0FFHMEWBK	[]	室内环境监测治理服务中心	广东省	[]	政府机构及社会团体;政府机关;政府机关相关	130100	113.130868	22.861972	440000	广东省	环境监测中心
116.746160,23.368418	黄山路40号	龙湖区	汕头市	B02F201QOO	[]	广东省水环境监测中心汕头分中心	广东省	[]	政府机构及社会团体;公检法机构;公证鉴定机构	130505	116.746160	23.368418	440000	广东省	环境监测中心
113.315612,23.087502	广州大道南860-862	海珠区	广州市	B001400813	[]	广东省环境辐射监测中心	广东省	[]	政府机构及社会团体;政府机关;省直辖市级政府及事业单位	130102	113.315612	23.087502	440000	广东省	环境监测中心
112.493061,23.055276	和平路55号附近	端州区	肇庆市	B02F601K2V	[]	广东省水环境监测中心肇庆分中心	广东省	[]	政府机构及社会团体;公检法机构;公证鉴定机构	130505	112.493061	23.055276	440000	广东省	环境监测中心
116.638305,23.668682	西园路19号环境保护监测站(南岩街)附近	湘桥区	潮州市	B030000VV6	[]	潮州市室内环境安全监测中心	广东省	[]	政府机构及社会团体;公检法机构;公证鉴定机构	130505	116.638305	23.668682	440000	广东省	环境监测中心
114.063811,22.571650	凯丰路18号	福田区	深圳市	B0FFH0Z2C7	[]	深圳市环境保护监测中心站	广东省	[]	政府机构及社会团体;政府及社会团体相关;政府及社会团体相关	130000	114.063811	22.571650	440000	广东省	环境监测中心
